price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
3990000.0,8.0,256,6.43,AMOLED,90.0,50,2,OPPO,Medium,HD,Snapdragon 680
24950000.0,16.0,1024,6.3,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
5650000.0,12.0,256,6.7,AMOLED,120.0,50,3,Realme,Medium,HD,Dimensity 8100
7950000.0,12.0,512,6.67,OLED,144.0,108,3,Xiaomi,Medium,HD,Snapdragon 8 gen 1
8950000.0,16.0,1024,6.59,AMOLED,120.0,50,2,OPPO,High,HD,Dimensity 8350
19950000.0,16.0,1024,6.73,LTPO AMOLED,120.0,50,3,Xiaomi,Premium,FHD,Snapdragon 8 e
7150000.0,12.0,256,6.59,IPS LCD,120.0,64,3,OPPO,Medium,HD,Dimensity 8000 max
9650000.0,16.0,1024,6.78,LTPO AMOLED,144.0,50,2,Vivo,High,HD,Dimensity 9300
25450000.0,16.0,512,6.8,Dynamic AMOLED 2X,120.0,108,4,Samsung,Premium,FHD,Exynos 2100 8
5350000.0,8.0,128,6.7,Super AMOLED Plus,60.0,64,4,Samsung,Medium,HD,Snapdragon 730g
8950000.0,12.0,256,6.7,AMOLED,120.0,64,3,Realme,High,HD,Snapdragon 7
3850000.0,6.0,128,6.43,Super AMOLED,60.0,48,4,Xiaomi,Medium,HD,Snapdragon 678
8490000.0,8.0,256,6.7,AMOLED,120.0,64,3,OPPO,High,HD,Dimensity 7050
2600000.0,4.0,64,6.5,IPS LCD,60.0,8,1,Realme,Low,HD,Sc9863a 8 
11950000.0,16.0,1024,6.83,AMOLED,120.0,50,3,OPPO,High,HD,Dimensity 8350
20950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
44490000.0,12.0,1024,6.8,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 gen 3
25900000.0,12.0,1024,6.9,Dynamic LTPO AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e
4690000.0,12.0,512,6.78,AMOLED,120.0,64,2,Vivo,Medium,HD,Snapdragon 695
9250000.0,12.0,256,6.67,Super AMOLED,120.0,108,4,Xiaomi,High,HD,Snapdragon 888
5150000.0,8.0,256,6.67,AMOLED,120.0,108,3,Xiaomi,Medium,HD,Snapdragon 695
4950000.0,6.0,128,6.9,OLED,120.0,50,2,ZTE,Medium,HD,Snapdragon 7 gen 1
7290000.0,6.0,128,6.4,Super AMOLED,90.0,48,4,Samsung,Medium,HD,Exynos 1280 8
7550000.0,6.0,64,6.39,Super AMOLED,60.0,48,3,Xiaomi,Medium,HD,Snapdragon 855
18450000.0,12.0,1024,6.8,Dynamic AMOLED 2X,120.0,108,4,Samsung,Premium,FHD,Snapdragon 8 gen1
6950000.0,12.0,512,6.7,AMOLED,120.0,50,2,OPPO,Medium,HD,Dimensity 7300
6330000.0,12.0,512,6.7,AMOLED,120.0,50,3,OPPO,Medium,HD,Snapdragon 782g
12250000.0,16.0,1024,6.67,LTPO AMOLED,120.0,50,3,Vivo,High,HD,Dimensity 9400 plus
10450000.0,16.0,512,6.55,AMOLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8
4590000.0,6.0,128,6.67,LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6
12350000.0,12.0,512,6.78,OLED,120.0,54,3,Honor,High,HD,Dimensity 8000
17350000.0,16.0,512,6.78,LTPO4 AMOLED,144.0,50,3,Vivo,Premium,FHD,Snapdragon 8 gen 2
3790000.0,8.0,256,6.78,IPS LCD,120.0,50,2,Infinix,Medium,HD,Helio G100
9450000.0,8.0,256,6.67,AMOLED,120.0,108,3,Xiaomi,High,HD,Dimensity 8100ultra
7990000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3
22490000.0,12.0,256,6.7,Dynamic AMOLED 2X,120.0,50,2,Samsung,Premium,HD,Snapdragon 8 gen 3
10490000.0,12.0,512,6.78,AMOLED,120.0,50,2,Vivo,High,HD,Snapdragon 7 gen 3
19950000.0,12.0,512,6.8,AMOLED,120.0,50,3,Nubia,Premium,HD,Snapdragon 8 gen 2
4250000.0,12.0,512,6.67,IPS LCD,90.0,50,2,OPPO,Medium,HD,Dimensity 6300
17650000.0,16.0,512,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e
2990000.0,4.0,128,6.51,IPS LCD,60.0,13,2,Vivo,Low,HD,Helio p35
10350000.0,12.0,1024,6.55,AMOLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8
8350000.0,12.0,256,6.67,AMOLED,120.0,50,3,OPPO,High,HD,Dimensity 6300
19950000.0,12.0,512,6.7,Foldable Dynamic LTPO AMOLED 2X | Màn phụ: Super AMOLED,120.0,50,2,Samsung,Premium,HD,Snapdragon 8 gen 3
