price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
3190000.0,6.0,128,6.7,PLS LCD,90.0,50,3,Samsung,Medium,HD,Snapdragon 680
3990000.0,4.0,128,6.7,PLS LCD,90.0,50,2,Samsung,Medium,HD,Dimensity 6300
2990000.0,4.0,128,6.7,PLS LCD,60.0,50,2,Samsung,Low,HD,Helio G85
4590000.0,4.0,128,6.7,Super AMOLED,90.0,50,3,Samsung,Medium,HD,Helio G99
6790000.0,8.0,128,6.7,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Exynos 1380
7990000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3
9490000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,High,HD,Exynos 1580
5890000.0,6.0,128,6.5,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Dimensity 6100
8490000.0,8.0,256,6.6,Super AMOLED,120.0,50,2,Samsung,High,HD,Exynos 1380
9190000.0,12.0,256,6.7,Super AMOLED Plus,120.0,50,3,Samsung,High,HD,Snapdragon 7 gen 1
11890000.0,8.0,256,6.4,Dynamic AMOLED 2X,120.0,50,3,Samsung,High,HD,Exynos 2200 8
13490000.0,8.0,128,6.7,Dynamic AMOLED,120.0,50,2,Samsung,High,HD,Exynos 2400
25990000.0,12.0,512,6.7,Dynamic AMOLED 2X,120.0,50,3,Samsung,Premium,FHD,Snapdragon 8 e
37190000.0,12.0,1024,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e
27990000.0,12.0,256,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e
25490000.0,12.0,256,6.5,OLED,120.0,52,4,Sony,Premium,HD,Snapdragon 8 gen 3
8750000.0,8.0,128,6.1,OLED,120.0,48,3,Sony,High,HD,Snapdragon 6 gen 1
5690000.0,12.0,256,6.78,AMOLED,120.0,50,2,Tecno,Medium,HD,Helio G99
3590000.0,8.0,256,6.78,AMOLED,120.0,100,1,Tecno,Medium,HD,G10 0
4290000.0,6.0,128,6.67,IPS LCD,60.0,108,1,Tecno,Medium,HD,D630 0
4590000.0,8.0,256,6.78,AMOLED,60.0,108,1,Tecno,Medium,HD,Helio G100
1990000.0,4.0,128,6.67,IPS LCD,120.0,50,0,Tecno,Low,HD,Helio G81
2190000.0,4.0,64,6.67,IPS LCD,60.0,13,1,Tecno,Low,HD,Unisoc t615
2090000.0,4.0,64,6.67,IPS LCD,120.0,13,1,Tecno,Low,HD,Unisoc t615
6990000.0,12.0,256,6.78,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 6 gen 1
2890000.0,4.0,128,6.56,LCD,60.0,13,4,Vivo,Low,HD,Helio G85
3190000.0,4.0,128,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2
3190000.0,4.0,64,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2
2990000.0,4.0,64,6.74,LCD,60.0,13,4,Vivo,Low,HD,Unisoc t7225 8
3790000.0,6.0,128,6.74,LCD,60.0,13,4,Vivo,Medium,HD,Unisoc t7225 8
3190000.0,4.0,64,6.56,IPS LCD,90.0,50,2,Vivo,Medium,HD,Helio G85
2890000.0,6.0,128,6.56,IPS LCD,90.0,50,4,Vivo,Low,HD,Helio G85
4590000.0,8.0,128,6.68,LCD,90.0,50,2,Vivo,Medium,HD,T61 2
5090000.0,8.0,128,6.67,IPS LCD,60.0,50,2,Vivo,Medium,HD,Helio G85
5790000.0,8.0,256,6.64,IPS LCD,90.0,50,2,Vivo,Medium,HD,Snapdragon 680
31990000.0,16.0,512,6.73,AMOLED,120.0,200,4,Xiaomi,Premium,FHD,Snapdragon 8 e
21990000.0,12.0,256,6.36,CrystalRes AMOLED,120.0,50,3,Xiaomi,Premium,HD,Snapdragon 8 e
2390000.0,4.0,128,6.71,IPS LCD,90.0,8,1,Xiaomi,Low,HD,Helio G36
7790000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Snapdragon 7
6290000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Helio G99ULTRA
7290000.0,8.0,256,6.67,AMOLED,60.0,108,3,Xiaomi,Medium,HD,Dimensity 7025 ultra
9690000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7
4590000.0,6.0,128,6.67,AMOLED,120.0,108,3,Xiaomi,Medium,HD,Helio G99ULTRA
2190000.0,4.0,128,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic
1990000.0,4.0,64,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic
2290000.0,6.0,128,6.67,IPS LCD,60.0,48,3,ZTE,Low,HD,Unisoc t618
2650000.0,6.0,128,5.81,OLED,60.0,12,1,Google,Low,HD,Snapdragon 730g
3150000.0,6.0,128,6.2,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g
4450000.0,6.0,128,6.3,P-OLED,90.0,16,2,Google,Medium,FHD,Snapdragon 855
3750000.0,6.0,128,6.34,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g
6250000.0,6.0,128,6.1,OLED,60.0,12,2,Google,Medium,HD,Tensor 8
7250000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Medium,FHD,Tensor 8
11950000.0,8.0,256,6.3,AMOLED,90.0,50,2,Google,High,HD,Tensor G2
10550000.0,8.0,128,6.1,OLED,90.0,64,2,Google,High,HD,Tensor G2
18990000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Premium,FHD,Tensor G2
12690000.0,8.0,256,6.1,OLED,120.0,64,2,Google,High,HD,Tensor G3
17050000.0,8.0,256,6.2,OLED,120.0,50,2,Google,Premium,HD,Tensor G3
24390000.0,12.0,256,6.7,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G3
20050000.0,12.0,256,6.3,OLED,120.0,50,2,Google,Premium,HD,Tensor G4
24950000.0,16.0,1024,6.3,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
42250000.0,16.0,512,8.0,Foldable LTPO OLED | Màn phụ: OLED,120.0,48,3,Google,Premium,2K,Tensor G4
27550000.0,16.0,1024,6.8,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
39890000.0,12.0,512,7.6,OLED,120.0,48,3,Google,Premium,FHD,Tensor G2
12950000.0,12.0,512,6.7,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 7 gen 3
6450000.0,6.0,128,6.26,IPS LCD,60.0,48,3,Honor,Medium,HD,Kirin 810
7450000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 7 gen 3
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
14750000.0,16.0,1024,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
8050000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,High,HD,Snapdragon 7 gen 4
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
14950000.0,16.0,1024,6.78,OLED,120.0,50,3,Honor,High,HD,Snapdragon 8 e
7950000.0,8.0,265,6.67,OLED,120.0,64,1,Honor,Medium,HD,Dimensity 900
9550000.0,12.0,512,6.67,OLED,120.0,160,3,Honor,High,HD,Snapdragon 782g
12350000.0,12.0,512,6.78,OLED,120.0,54,3,Honor,High,HD,Dimensity 8000
11050000.0,12.0,512,6.78,OLED,120.0,200,3,Honor,High,HD,Snapdragon 8 gen 1
8450000.0,12.0,256,6.67,OLED,120.0,64,3,Honor,High,HD,Dimensity 900
4950000.0,6.0,128,6.59,IPS LCD,60.0,48,2,Honor,Medium,HD,Kirin 810
7650000.0,16.0,1024,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 8 gen 3
11950000.0,16.0,1024,6.7,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 e
15750000.0,16.0,1024,6.78,LTPO OLED,120.0,50,3,Honor,Premium,HD,Snapdragon 8 e
19950000.0,16.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,Premium,HD,Snapdragon 8 e
27950000.0,24.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,Premium,HD,Snapdragon 8 e
23450000.0,12.0,512,6.81,LTPO OLED,120.0,50,3,Honor,Premium,HD,Snapdragon 8 gen 1
25950000.0,12.0,512,6.81,LTPO OLED,120.0,64,3,Honor,Premium,HD,Snapdragon 8 gen 1
29700000.0,16.0,1024,7.92,Foldable LTPO OLED (màn hình chính) | LTPO OLED (màn hình phụ),120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 2
34950000.0,16.0,1024,7.92,Foldable LTPO AMOLED (màn chính) | LTPO OLED (màn phụ),120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 3
23450000.0,16.0,512,7.92,Foldable LTPO OLED | Màn phụ: LTPO OLED,120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 1
28450000.0,12.0,512,7.9,Foldable OLED | OLED,90.0,54,3,Honor,Premium,FHD,Snapdragon 8 gen 1
4250000.0,12.0,256,6.8,TFT LCD,90.0,50,2,Honor,Medium,HD,Dimensity 6020
3990000.0,12.0,256,6.8,TFT LCD,90.0,50,2,Honor,Medium,HD,Dimensity 6080
5450000.0,12.0,512,6.7,AMOLED,90.0,108,2,Honor,Medium,HD,Dimensity 6080
2150000.0,4.0,64,6.56,TFT LCD,90.0,13,1,Honor,Low,HD,Helio G36
2950000.0,4.0,1258,6.56,TFT LCD,90.0,50,1,Honor,Low,HD,Helio G36
2050000.0,4.0,128,6.56,TFT LCD,90.0,50,2,Honor,Low,HD,Helio G36
2450000.0,6.0,256,6.56,TFT LCD,90.0,50,2,Honor,Low,HD,Helio G85
3450000.0,8.0,256,6.77,IPS LCD,120.0,108,2,Honor,Medium,HD,Snapdragon 685
7650000.0,8.0,512,6.7,AMOLED,90.0,108,3,Honor,Medium,HD,Snapdragon 680
4450000.0,8.0,512,6.7,AMOLED,120.0,108,2,Honor,Medium,HD,Snapdragon 685
6450000.0,8.0,256,6.67,AMOLED,120.0,64,3,Honor,Medium,HD,Snapdragon 695
7990000.0,12.0,512,6.78,AMOLED,120.0,108,2,Honor,Medium,HD,Snapdragon 6 gen 1
6990000.0,12.0,256,6.8,TFT LCD,120.0,108,2,Honor,Medium,HD,Dimensity 7025 ultra
14490000.0,8.0,256,6.53,"OLED, 16 triệu màu",60.0,40,3,Huawei,High,HD,Kirin 990
17990000.0,8.0,128,6.1,"OLED, cảm ứng điện dung 16.7 triệu màu",60.0,40,3,Huawei,Premium,HD,Kirin 980
3890000.0,3.0,32,5.5,IPS LCD,60.0,12,2,Huawei,Medium,HD,Kirin 655
16950000.0,8.0,256,7.2,OLED,60.0,40,3,Huawei,Premium,HD,Kirin 980
5800000.0,4.0,64,5,IPS LCD,60.0,16,2,Huawei,Medium,HD,Kirin 659
6950000.0,8.0,128,6.4,IPS LCD,60.0,24,4,Huawei,Medium,HD,Kirin 710
9950000.0,8.0,128,6.39,OLED,60.0,48,4,Huawei,High,HD,Kirin 980
26550000.0,16.0,1024,6.3,Foldable LTPO2 OLED (màn chính) | LTPO2 OLED (màn phụ),120.0,50,4,Huawei,Premium,HD,Kirin 9020 8
5690000.0,8.0,256,6.67,AMOLED,120.0,108,3,Infinix,Medium,HD,Dimensity 8050
6950000.0,12.0,256,6.78,AMOLED,144.0,108,3,Infinix,Medium,HD,Dimensity 8200
7950000.0,12.0,256,6.78,AMOLED,144.0,108,2,Infinix,Medium,HD,Dimensity 8300
7250000.0,12.0,256,6.67,AMOLED,120.0,108,3,Infinix,Medium,HD,Dimensity 8050
7650000.0,12.0,256,6.67,AMOLED,120.0,108,3,Infinix,Medium,HD,Dimensity 8050
6990000.0,12.0,256,6.78,AMOLED,144.0,108,3,Infinix,Medium,HD,Dimensity 8020
9490000.0,4.0,128,6.1,IPS LCD,60.0,12,1,Apple,High,HD,A13 Bionic
7990000.0,4.0,64,6.1,IPS LCD,60.0,12,1,Apple,Medium,HD,A13 Bionic
9990000.0,4.0,128,6.1,OLED,60.0,12,2,Apple,High,HD,A14 Bionic
27590000.0,6.0,256,6.7,OLED,60.0,12,3,Apple,Premium,HD,A14 Bionic
23490000.0,6.0,128,6.7,OLED,60.0,12,3,Apple,Premium,HD,A14 Bionic
24990000.0,6.0,128,6.1,OLED,60.0,12,3,Apple,Premium,HD,A14 Bionic
7990000.0,4.0,64,6.1,OLED,60.0,12,2,Apple,Medium,HD,A14 Bionic
14990000.0,4.0,256,6.1,Super Retina XDR OLED,60.0,12,2,Apple,High,HD,A15 Bionic
25500000.0,4.0,512,6.1,Super Retina XDR OLED,60.0,12,2,Apple,Premium,HD,A15 Bionic
24490000.0,6.0,256,6.1,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
23990000.0,6.0,256,6.7,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
22990000.0,6.0,128,6.7,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
21990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
11590000.0,4.0,128,6.1,Super Retina XDR OLED,60.0,12,2,Apple,High,HD,A15 Bionic
15990000.0,6.0,256,6.1,OLED,60.0,12,2,Apple,Premium,HD,A15 Bionic
19990000.0,6.0,256,6.7,Super Retina XDR OLED,60.0,12,2,Apple,Premium,HD,A15 Bionic
17990000.0,6.0,128,6.7,Super Retina XDR OLED,60.0,12,2,Apple,Premium,HD,A15 Bionic
24990000.0,6.0,256,6.1,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
41790000.0,6.0,1024,6.7,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
27990000.0,6.0,256,6.7,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
25590000.0,6.0,128,6.7,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
22990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
12990000.0,6.0,128,6.1,OLED,60.0,12,2,Apple,High,HD,A15 Bionic
18990000.0,6.0,256,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
22790000.0,6.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
19490000.0,6.0,128,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
30990000.0,8.0,512,6.7,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A17 Bionic
15790000.0,6.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
22490000.0,12.0,256,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
25890000.0,12.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
29490000.0,12.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
22490000.0,12.0,128,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
39990000.0,12.0,1024,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
28590000.0,12.0,256,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
34690000.0,12.0,512,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
42990000.0,12.0,1024,6.9,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
37490000.0,12.0,512,6.9,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
30990000.0,12.0,256,6.9,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
25290000.0,12.0,128,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
19190000.0,12.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
19390000.0,12.0,256,6.1,Super Retina XDR,60.0,48,4,Apple,Premium,HD,A18 Bionic
25490000.0,12.0,512,6.1,Super Retina XDR,60.0,48,4,Apple,Premium,HD,A18 Bionic
16290000.0,12.0,128,6.1,Super Retina XDR,60.0,48,4,Apple,Premium,HD,A18 Bionic
9600000.0,4.0,256,6.1,Liquid Retina IPS LCD,60.0,12,2,Apple,High,HD,A13 Bionic
28550000.0,6.0,512,6.7,Super Retina XDR OLED,60.0,12,3,Apple,Premium,HD,A14 Bionic
17450000.0,4.0,512,6.1,Super Retina,60.0,12,2,Apple,Premium,HD,A15 Bionic
