price_category,price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,screen_resolution_k,chip_model
Medium,3190000.0,6.0,128,6.7,PLS LCD,90.0,50,3,Samsung,HD,Snapdragon 680
Medium,3990000.0,4.0,128,6.7,PLS LCD,90.0,50,2,Samsung,HD,Dimensity 6300
Low,2990000.0,4.0,128,6.7,PLS LCD,60.0,50,2,Samsung,HD,Helio G85
Medium,4590000.0,4.0,128,6.7,Super AMOLED,90.0,50,3,Samsung,HD,Helio G99
Medium,6790000.0,8.0,128,6.7,Super AMOLED,60.0,50,3,Samsung,HD,Exynos 1380
Medium,7990000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,HD,Snapdragon 6 gen 3
High,9490000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,HD,Exynos 1580
Medium,5890000.0,6.0,128,6.5,Super AMOLED,60.0,50,3,Samsung,HD,Dimensity 6100
High,8490000.0,8.0,256,6.6,Super AMOLED,120.0,50,2,Samsung,HD,Exynos 1380
High,9190000.0,12.0,256,6.7,Super AMOLED Plus,120.0,50,3,Samsung,HD,Snapdragon 7 gen 1
High,11890000.0,8.0,256,6.4,Dynamic AMOLED 2X,120.0,50,3,Samsung,HD,Exynos 2200 8
High,13490000.0,8.0,128,6.7,Dynamic AMOLED,120.0,50,2,Samsung,HD,Exynos 2400
Premium,25990000.0,12.0,512,6.7,Dynamic AMOLED 2X,120.0,50,3,Samsung,FHD,Snapdragon 8 e
Premium,37190000.0,12.0,1024,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,FHD,Snapdragon 8 e
Premium,27990000.0,12.0,256,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,FHD,Snapdragon 8 e
Premium,25490000.0,12.0,256,6.5,OLED,120.0,52,4,Sony,HD,Snapdragon 8 gen 3
High,8750000.0,8.0,128,6.1,OLED,120.0,48,3,Sony,HD,Snapdragon 6 gen 1
Medium,5690000.0,12.0,256,6.78,AMOLED,120.0,50,2,Tecno,HD,Helio G99
Medium,3590000.0,8.0,256,6.78,AMOLED,120.0,100,1,Tecno,HD,G10 0
Medium,4290000.0,6.0,128,6.67,IPS LCD,60.0,108,1,Tecno,HD,D630 0
Medium,4590000.0,8.0,256,6.78,AMOLED,60.0,108,1,Tecno,HD,Helio G100
Low,1990000.0,4.0,128,6.67,IPS LCD,120.0,50,0,Tecno,HD,Helio G81
Low,2190000.0,4.0,64,6.67,IPS LCD,60.0,13,1,Tecno,HD,Unisoc t615
Low,2090000.0,4.0,64,6.67,IPS LCD,120.0,13,1,Tecno,HD,Unisoc t615
Medium,6990000.0,12.0,256,6.78,AMOLED,120.0,50,2,Vivo,HD,Snapdragon 6 gen 1
Low,2890000.0,4.0,128,6.56,LCD,60.0,13,4,Vivo,HD,Helio G85
Medium,3190000.0,4.0,128,6.56,LCD,90.0,13,4,Vivo,HD,T61 2
Medium,3190000.0,4.0,64,6.56,LCD,90.0,13,4,Vivo,HD,T61 2
Low,2990000.0,4.0,64,6.74,LCD,60.0,13,4,Vivo,HD,Unisoc t7225 8
Medium,3790000.0,6.0,128,6.74,LCD,60.0,13,4,Vivo,HD,Unisoc t7225 8
Medium,3190000.0,4.0,64,6.56,IPS LCD,90.0,50,2,Vivo,HD,Helio G85
Low,2890000.0,6.0,128,6.56,IPS LCD,90.0,50,4,Vivo,HD,Helio G85
Medium,4590000.0,8.0,128,6.68,LCD,90.0,50,2,Vivo,HD,T61 2
Medium,5090000.0,8.0,128,6.67,IPS LCD,60.0,50,2,Vivo,HD,Helio G85
Medium,5790000.0,8.0,256,6.64,IPS LCD,90.0,50,2,Vivo,HD,Snapdragon 680
Premium,31990000.0,16.0,512,6.73,AMOLED,120.0,200,4,Xiaomi,FHD,Snapdragon 8 e
Premium,21990000.0,12.0,256,6.36,CrystalRes AMOLED,120.0,50,3,Xiaomi,HD,Snapdragon 8 e
Low,2390000.0,4.0,128,6.71,IPS LCD,90.0,8,1,Xiaomi,HD,Helio G36
Medium,7790000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,HD,Snapdragon 7
Medium,6290000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,HD,Helio G99ULTRA
Medium,7290000.0,8.0,256,6.67,AMOLED,60.0,108,3,Xiaomi,HD,Dimensity 7025 ultra
High,9690000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,HD,Snapdragon 7
Medium,4590000.0,6.0,128,6.67,AMOLED,120.0,108,3,Xiaomi,HD,Helio G99ULTRA
Low,2190000.0,4.0,128,6.75,IPS LCD,60.0,13,1,ZTE,HD,A1 Bionic
Low,1990000.0,4.0,64,6.75,IPS LCD,60.0,13,1,ZTE,HD,A1 Bionic
Low,2290000.0,6.0,128,6.67,IPS LCD,60.0,48,3,ZTE,HD,Unisoc t618
Low,2650000.0,6.0,128,5.81,OLED,60.0,12,1,Google,HD,Snapdragon 730g
Medium,3150000.0,6.0,128,6.2,OLED,60.0,16,2,Google,HD,Snapdragon 765g
Medium,4450000.0,6.0,128,6.3,P-OLED,90.0,16,2,Google,FHD,Snapdragon 855
Medium,3750000.0,6.0,128,6.34,OLED,60.0,16,2,Google,HD,Snapdragon 765g
Medium,6250000.0,6.0,128,6.1,OLED,60.0,12,2,Google,HD,Tensor 8
Medium,7250000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,FHD,Tensor 8
High,11950000.0,8.0,256,6.3,AMOLED,90.0,50,2,Google,HD,Tensor G2
High,10550000.0,8.0,128,6.1,OLED,90.0,64,2,Google,HD,Tensor G2
Premium,18990000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,FHD,Tensor G2
High,12690000.0,8.0,256,6.1,OLED,120.0,64,2,Google,HD,Tensor G3
Premium,17050000.0,8.0,256,6.2,OLED,120.0,50,2,Google,HD,Tensor G3
Premium,24390000.0,12.0,256,6.7,LTPO OLED,120.0,50,3,Google,HD,Tensor G3
Premium,20050000.0,12.0,256,6.3,OLED,120.0,50,2,Google,HD,Tensor G4
Premium,24950000.0,16.0,1024,6.3,LTPO OLED,120.0,50,3,Google,HD,Tensor G4
Premium,42250000.0,16.0,512,8.0,Foldable LTPO OLED | Màn phụ: OLED,120.0,48,3,Google,2K,Tensor G4
Premium,27550000.0,16.0,1024,6.8,LTPO OLED,120.0,50,3,Google,HD,Tensor G4
Premium,39890000.0,12.0,512,7.6,OLED,120.0,48,3,Google,FHD,Tensor G2
High,12950000.0,12.0,512,6.7,AMOLED,120.0,50,3,Honor,HD,Snapdragon 7 gen 3
Medium,6450000.0,6.0,128,6.26,IPS LCD,60.0,48,3,Honor,HD,Kirin 810
Medium,7450000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,HD,Snapdragon 7 gen 3
High,11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,HD,Snapdragon 8 gen 3
High,14750000.0,16.0,1024,6.78,AMOLED,120.0,50,3,Honor,HD,Snapdragon 8 gen 3
High,8050000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,HD,Snapdragon 7 gen 4
High,11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,HD,Snapdragon 8 gen 3
High,14950000.0,16.0,1024,6.78,OLED,120.0,50,3,Honor,HD,Snapdragon 8 e
Medium,7950000.0,8.0,265,6.67,OLED,120.0,64,1,Honor,HD,Dimensity 900
High,9550000.0,12.0,512,6.67,OLED,120.0,160,3,Honor,HD,Snapdragon 782g
High,12350000.0,12.0,512,6.78,OLED,120.0,54,3,Honor,HD,Dimensity 8000
High,11050000.0,12.0,512,6.78,OLED,120.0,200,3,Honor,HD,Snapdragon 8 gen 1
High,8450000.0,12.0,256,6.67,OLED,120.0,64,3,Honor,HD,Dimensity 900
Medium,4950000.0,6.0,128,6.59,IPS LCD,60.0,48,2,Honor,HD,Kirin 810
Medium,7650000.0,16.0,1024,6.7,AMOLED,120.0,50,2,Honor,HD,Snapdragon 8 gen 3
High,11950000.0,16.0,1024,6.7,AMOLED,120.0,50,3,Honor,HD,Snapdragon 8 e
Premium,15750000.0,16.0,1024,6.78,LTPO OLED,120.0,50,3,Honor,HD,Snapdragon 8 e
Premium,19950000.0,16.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,HD,Snapdragon 8 e
Premium,27950000.0,24.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,HD,Snapdragon 8 e
Premium,23450000.0,12.0,512,6.81,LTPO OLED,120.0,50,3,Honor,HD,Snapdragon 8 gen 1
Premium,25950000.0,12.0,512,6.81,LTPO OLED,120.0,64,3,Honor,HD,Snapdragon 8 gen 1
Premium,29700000.0,16.0,1024,7.92,Foldable LTPO OLED (màn hình chính) | LTPO OLED (màn hình phụ),120.0,50,3,Honor,2K,Snapdragon 8 gen 2
Premium,34950000.0,16.0,1024,7.92,Foldable LTPO AMOLED (màn chính) | LTPO OLED (màn phụ),120.0,50,3,Honor,2K,Snapdragon 8 gen 3
Premium,23450000.0,16.0,512,7.92,Foldable LTPO OLED | Màn phụ: LTPO OLED,120.0,50,3,Honor,2K,Snapdragon 8 gen 1
Premium,28450000.0,12.0,512,7.9,Foldable OLED | OLED,90.0,54,3,Honor,FHD,Snapdragon 8 gen 1
Medium,4250000.0,12.0,256,6.8,TFT LCD,90.0,50,2,Honor,HD,Dimensity 6020
Medium,3990000.0,12.0,256,6.8,TFT LCD,90.0,50,2,Honor,HD,Dimensity 6080
Medium,5450000.0,12.0,512,6.7,AMOLED,90.0,108,2,Honor,HD,Dimensity 6080
Low,2150000.0,4.0,64,6.56,TFT LCD,90.0,13,1,Honor,HD,Helio G36
Low,2950000.0,4.0,1258,6.56,TFT LCD,90.0,50,1,Honor,HD,Helio G36
Low,2050000.0,4.0,128,6.56,TFT LCD,90.0,50,2,Honor,HD,Helio G36
Low,2450000.0,6.0,256,6.56,TFT LCD,90.0,50,2,Honor,HD,Helio G85
Medium,3450000.0,8.0,256,6.77,IPS LCD,120.0,108,2,Honor,HD,Snapdragon 685
Medium,7650000.0,8.0,512,6.7,AMOLED,90.0,108,3,Honor,HD,Snapdragon 680
Medium,4450000.0,8.0,512,6.7,AMOLED,120.0,108,2,Honor,HD,Snapdragon 685
Medium,6450000.0,8.0,256,6.67,AMOLED,120.0,64,3,Honor,HD,Snapdragon 695
Medium,7990000.0,12.0,512,6.78,AMOLED,120.0,108,2,Honor,HD,Snapdragon 6 gen 1
Medium,6990000.0,12.0,256,6.8,TFT LCD,120.0,108,2,Honor,HD,Dimensity 7025 ultra
High,14490000.0,8.0,256,6.53,"OLED, 16 triệu màu",60.0,40,3,Huawei,HD,Kirin 990
Premium,17990000.0,8.0,128,6.1,"OLED, cảm ứng điện dung 16.7 triệu màu",60.0,40,3,Huawei,HD,Kirin 980
Medium,3890000.0,3.0,32,5.5,IPS LCD,60.0,12,2,Huawei,HD,Kirin 655
Premium,16950000.0,8.0,256,7.2,OLED,60.0,40,3,Huawei,HD,Kirin 980
Medium,5800000.0,4.0,64,5,IPS LCD,60.0,16,2,Huawei,HD,Kirin 659
Medium,6950000.0,8.0,128,6.4,IPS LCD,60.0,24,4,Huawei,HD,Kirin 710
High,9950000.0,8.0,128,6.39,OLED,60.0,48,4,Huawei,HD,Kirin 980
Premium,26550000.0,16.0,1024,6.3,Foldable LTPO2 OLED (màn chính) | LTPO2 OLED (màn phụ),120.0,50,4,Huawei,HD,Kirin 9020 8
Medium,5690000.0,8.0,256,6.67,AMOLED,120.0,108,3,Infinix,HD,Dimensity 8050
Medium,6950000.0,12.0,256,6.78,AMOLED,144.0,108,3,Infinix,HD,Dimensity 8200
