price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
1990000.0,4.0,128,6.6,IPS LCD,90.0,50,1,Nubia,Low,HD,Sc986 3a,9477153.372389965,10432411.496670172,4234313.623719911,8514044.54111523
3990000.0,8.0,128,6.8,IPS LCD,60.0,50,2,Nubia,Medium,HD,Unisoc t8100,9861511.041009463,10127004.416403785,4272590.376194736,8478074.60955868
2690000.0,6.0,256,6.6,IPS LCD,90.0,50,2,Nubia,Low,HD,Unisoc t606,8670425.867507886,9889004.416403785,4366588.32807571,8558835.587253692
2990000.0,4.0,64,6.56,IPS LCD,90.0,8,2,OPPO,Low,HD,Helio G85,6883690.021583928,8560957.506030804,4344292.7188585885,8622095.701029267
6090000.0,8.0,256,6.67,LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6,9092183.513921272,8971475.774488393,7925121.164324635,8478074.60955868
4590000.0,6.0,128,6.67,LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6,9092183.513921272,8971475.774488393,7925121.164324635,8478074.60955868
3990000.0,4.0,128,6.67,LCD,60.0,8,1,OPPO,Medium,HD,Snapdragon 6,8992092.534174552,9167598.836494735,8011484.8006882705,8514044.54111523
8490000.0,8.0,256,6.7,AMOLED,120.0,64,3,OPPO,High,HD,Dimensity 7050,8702265.18774804,8560957.506030804,8684478.137766974,8622095.701029267
9490000.0,12.0,256,6.7,AMOLED,120.0,50,3,OPPO,High,HD,Dimensity 7300,9057599.069576811,8889295.110781914,8734039.109685032,8546529.176983478
7490000.0,8.0,256,6.7,AMOLED,120.0,50,3,OPPO,Medium,HD,Dimensity 6300,7985813.574844815,9092694.00630915,8570011.200063622,8558835.587253692
8790000.0,8.0,256,6.67,AMOLED,120.0,50,3,OPPO,High,HD,Helio G100,9246096.557399534,9092694.00630915,8570011.200063622,8558835.587253692
10790000.0,12.0,256,6.67,AMOLED,120.0,50,3,OPPO,High,HD,Snapdragon 6 gen1,9861511.041009463,8971475.774488393,8652998.667789413,8478074.60955868
7690000.0,8.0,256,6.67,OLED,120.0,50,2,Realme,Medium,HD,Dimensity 7300,9144592.534174552,5795715.337238996,11139737.242531082,8514044.54111523
3390000.0,6.0,256,6.74,IPS LCD,90.0,50,2,Realme,Medium,HD,Unisoc t612,9489058.134294726,5818030.367325144,4303207.424525562,8546529.176983478
1690000.0,4.0,64,6.74,IPS LCD,90.0,13,2,Realme,Low,HD,Unisoc t612,9505724.800961394,5744001.104100946,4366588.32807571,8558835.587253692
3790000.0,6.0,128,6.745,IPS LCD,90.0,50,2,Realme,Medium,HD,Tiger t612,9160158.040423436,5818030.367325144,4303207.424525562,8546529.176983478
2890000.0,4.0,128,6.745,IPS LCD,90.0,50,2,Realme,Low,HD,Tiger t612,9072183.513921272,5827879.903132269,4344292.7188585885,8622095.701029267
4430000.0,8.0,128,6.67,IPS LCD,60.0,50,1,Realme,Medium,HD,Helio G85,6801847.91632077,5910151.104100946,4272590.376194736,8478074.60955868
3990000.0,8.0,256,6.67,IPS LCD,60.0,50,1,Realme,Medium,HD,Helio G85,6773027.713854554,5818030.367325144,4303207.424525562,8546529.176983478
4890000.0,8.0,256,6.745,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612,9266828.219099512,5910151.104100946,4272590.376194736,8478074.60955868
4290000.0,8.0,128,6.72,IPS LCD,90.0,108,2,Realme,Medium,HD,Snapdragon 685,8779304.901722882,5818030.367325144,4303207.424525562,8546529.176983478
2790000.0,4.0,128,6.74,IPS LCD,60.0,13,2,Realme,Low,HD,Tiger t612,9266828.219099512,5910151.104100946,4272590.376194736,8478074.60955868
3190000.0,4.0,64,6.74,IPS LCD,90.0,32,1,Realme,Medium,HD,Unisoc t612,9489058.134294726,5818030.367325144,4303207.424525562,8546529.176983478
1990000.0,3.0,64,6.74,LCD,90.0,8,1,Realme,Low,HD,Unisoc t612,9489058.134294726,5818030.367325144,7908581.530051579,8546529.176983478
9290000.0,12.0,512,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7,8823674.027339643,7324119.743057486,8652998.667789413,8478074.60955868
3190000.0,6.0,128,6.7,PLS LCD,90.0,50,3,Samsung,Medium,HD,Snapdragon 680,8157749.058715783,14797851.104100948,7942507.886435332,8514044.54111523
3990000.0,4.0,128,6.7,PLS LCD,90.0,50,2,Samsung,Medium,HD,Dimensity 6300,8051942.607102879,14797851.104100948,7942507.886435332,8514044.54111523
2990000.0,4.0,128,6.7,PLS LCD,60.0,50,2,Samsung,Low,HD,Helio G85,6773027.713854554,14303520.684043461,7863243.818160838,8546529.176983478
4590000.0,4.0,128,6.7,Super AMOLED,90.0,50,3,Samsung,Medium,HD,Helio G99,7053907.824882665,13894110.004060345,7721792.7785829995,8557935.866096748
6790000.0,8.0,128,6.7,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Exynos 1380,9686828.219099512,14429954.302898081,7795752.3659306,8622095.701029267
7990000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3,9722867.65810425,14551582.759286681,7792726.352464805,8478074.60955868
9490000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,High,HD,Exynos 1580,9861511.041009463,14551582.759286681,7792726.352464805,8478074.60955868
5890000.0,6.0,128,6.5,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Dimensity 6100,8328085.4161611255,14551582.759286681,7792726.352464805,8478074.60955868
8490000.0,8.0,256,6.6,Super AMOLED,120.0,50,2,Samsung,High,HD,Exynos 1380,9609555.491826786,13843251.104100948,7642609.508787743,8558835.587253692
9190000.0,12.0,256,6.7,Super AMOLED Plus,120.0,50,3,Samsung,High,HD,Snapdragon 7 gen 1,9499824.168891046,14303520.684043461,9670348.523741778,8546529.176983478
11890000.0,8.0,256,6.4,Dynamic AMOLED 2X,120.0,50,3,Samsung,High,HD,Exynos 2200 8,10100962.896199489,13843251.104100948,18625301.562265284,8558835.587253692
13490000.0,8.0,128,6.7,Dynamic AMOLED,120.0,50,2,Samsung,High,HD,Exynos 2400,10970444.38348649,13843251.104100948,13105148.089730108,8558835.587253692
25990000.0,12.0,512,6.7,Dynamic AMOLED 2X,120.0,50,3,Samsung,Premium,FHD,Snapdragon 8 e,15285371.239516811,14797851.104100948,19662449.252503086,20170737.8872442
37190000.0,12.0,1024,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e,15389379.60042061,13894110.004060345,18465801.396066852,19532316.98830952
27990000.0,12.0,256,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e,15285371.239516811,14797851.104100948,19662449.252503086,20170737.8872442
25490000.0,12.0,256,6.5,OLED,120.0,52,4,Sony,Premium,HD,Snapdragon 8 gen 3,17523298.831291277,12522933.509102903,10622259.972943468,8546529.176983478
8750000.0,8.0,128,6.1,OLED,120.0,48,3,Sony,High,HD,Snapdragon 6 gen 1,8683878.090973847,13094712.37706439,10626020.563149901,8622095.701029267
5690000.0,12.0,256,6.78,AMOLED,120.0,50,2,Tecno,Medium,HD,Helio G99,7263755.520504731,6005397.642370911,8570011.200063622,8558835.587253692
3590000.0,8.0,256,6.78,AMOLED,120.0,100,1,Tecno,Medium,HD,G10 0,9861511.041009463,5899308.622502629,8906548.335996285,8557935.866096748
4290000.0,6.0,128,6.67,IPS LCD,60.0,108,1,Tecno,Medium,HD,D630 0,9861511.041009463,5450612.449026698,4272590.376194736,8478074.60955868
4590000.0,8.0,256,6.78,AMOLED,60.0,108,1,Tecno,Medium,HD,Helio G100,9145513.928892545,5838548.660951902,8734039.109685032,8546529.176983478
1990000.0,4.0,128,6.67,IPS LCD,120.0,50,0,Tecno,Low,HD,Helio G81,9499058.134294728,5905273.254326882,4234313.623719911,8514044.54111523
